full_text,sentimen,kategori
"Pada masa pandemi COVID 19 mendera, pembelajaran luring (offline) berubah menjadi daring (online) dengan segala konsekuensinya.",positif,Confidience
"@sultohn @Trollbukantroll @nandadaus @kpertiwi29 @PNS_Ababil Nah itu juga coba cek kebijakan mendikbud waktu sekolah diwajibkan pembelajaran jarak jauh (PJJ) dmn hrs online ketika pandemi covid. Bgmn realita lapangan? Sekolah di luar Jawa, yg pny HP, 1 kelas cm 1 siswa. Rmhnya jauh2. Alhasil PJJ tdk berjalan, jd spt libur krn tdk ada akses",positif,Composure
"Semenjak pandemi covid-19, penggunaan berbagai platform untuk pembelajaran online semakin meningkat. selain membantu proses pembelajaran, juga dapat meningkatkan skill dalam bidang teknologi digital. 
#ApaGunaDigital
#OnlineUntukApa https://t.co/OsYTPwYgmX",positif,Control 
"Dimasa pandemi covid, semua ruang gerak dibatasi termasuk pembelajaran, dimana semua dipaksa menggunakan teknology online untuk tetap pembelajaran agar para siswa tidak tertinggal.
#ApaGunaDigital
#OnlineUntukApa https://t.co/BC4hhEwE6C",positif,Comitment
"Saat pandemi covid-19, proses pembelajaran dilakukan dengan cara online, karena itu, literasi digital sangat diperlukan bagi pengajar untuk diterapkan sejak dini.
@PlateJohnny @kemkominfo https://t.co/CtfjY2IOlj",positif,Comitment
"📚Departemen Hubungan Internasional📚

Sebagai konsiderasi atas dampak yang ditimbulkan oleh pandemi covid-19🦠 hingga mengharuskan terselenggarakannya pembelajaran kuliah online yang memakan waktu cukup banyak di depan layar, para dosen Departemen HI memutuskan untuk sedikit—",positif,Comitment
"Bantuan kuota internet untuk dosen dan mahasiswa kemarin emg sangat membantu sekali pada saat masa pandemi covid karena semua proses pembelajaran dilakukan secara online 👍
#PimpinPemulihan #Hardiknas2022 https://t.co/Z6mPofvuB2",positif,Control 
"mau KKN disana, but for this era terjadilah pandemi Covid-19 yang dimana seluruh kegiatan pembelajaran menjadi online, dan mahasiswa/i melalukan pembelajaran daring, dan terkecuali untuk mahasiswa yang KKN/PL akan dilaksanakan secara offline dan nerapin protokol yang ada di desa",negatif,Comitment
Pusat Pembelajaran Daring Trisakti (PPDT) mengadakan acara Sosialisasi Media Interaktif ThingLink kepada seluruh pimpinan fakultas / prodi dan dosen lingkup Universitas Trisakti untuk melengkapi platform pembelajaran online yang selama ini sudah berjalan selama pandemi Covid-19. https://t.co/96pFe1Xarg,positif,Control 
"Pembelajaran masa Pandemi ini, selain covid-19 itu sendiri tenyata merubah sistem pmbelajaran dr tatap muka menjadi online,
Akibat Susah Sinyal, Pelajar di Situraja Sumedang Manfaatkan Wifi Gratis di Sekolah 
#InetMahalSinyalGombal 
#InetMahalSinyalGombal 
https://t.co/zMHcoik4iz",negatif,Composure
Kebijakan belajar online imbas pandemi COVID-19 ternyata dapat memicu anak kecanduan gadget. DPRD mendorong agar skema belajar anak kembali seperti semula menerapkan pembelajaran tatap muka (PTM). https://t.co/19C3ccIxFy,negatif,Composure
"⚠️EXTENDED⚠️
[Penggalangan Dana : Bantuan Pulsa Belajar Online Siswa/i SNF FEB UI]

Pandemi COVID-19 masih mengharuskan pembelajaran SNF dilakukan secara daring atau online. https://t.co/YH8ioYnbf6",negatif,Control 
